code,source_site,target_site,direction,network,case,role,generalization_type,task_name,variable,height_m,N,RMSE,MAE,MBE,Pearson_r,Raw_RMSE,Skill_RMSE_pct,primary_error
Code2,NO3_1071,NO2_1107,NO3_1071→NO2_1107,CNN_LSTM,C2,Data-driven,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO2_1107_cross_tower_other_time,WS,ALL_PROFILE,9772,2.4171046354023877,1.8278632292598251,0.2718075373051484,0.7766882737932242,2.6958795498265227,10.340777815613992,2.4171046354023877
Code2,NO3_1071,NO2_1107,NO3_1071→NO2_1107,CNN_LSTM,C4b,MOST input,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO2_1107_cross_tower_other_time,WS,ALL_PROFILE,9772,1.2129818545741484,0.8793480436927259,0.1201502481722296,0.9485303697815572,2.6958795498265227,55.00608123785787,1.2129818545741484
Code2,NO3_1071,NO2_1107,NO3_1071→NO2_1107,CNN_LSTM,C6m,MOST loss,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO2_1107_cross_tower_other_time,WS,ALL_PROFILE,9772,2.3631379096629272,1.7742947002489025,0.3045433326668049,0.7906950197190826,2.6958795498265227,12.342600402343905,2.3631379096629272
Code2,NO3_1071,NO2_1107,NO3_1071→NO2_1107,TCN,C2,Data-driven,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO2_1107_cross_tower_other_time,WS,ALL_PROFILE,9772,2.4020910290222752,1.828315230737088,0.22197396851313,0.7787718384563489,2.6958795498265227,10.897687206505664,2.4020910290222752
Code2,NO3_1071,NO2_1107,NO3_1071→NO2_1107,TCN,C4b,MOST input,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO2_1107_cross_tower_other_time,WS,ALL_PROFILE,9772,0.9481255140155728,0.6766423071746273,0.0446355661631279,0.9687325725880748,2.6958795498265227,64.83056841035113,0.9481255140155728
Code2,NO3_1071,NO2_1107,NO3_1071→NO2_1107,TCN,C6m,MOST loss,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NO2_1107_cross_tower_other_time,WS,ALL_PROFILE,9772,2.4538210226652173,1.866189179187604,0.4740753020221528,0.7755539294588907,2.6958795498265227,8.978833166967034,2.4538210226652173
Code1,NO3_1071,NOT_1166,NO3_1071→NOT_1166,CNN_LSTM,C2,Data-driven,cross_tower_other_time,NO3_1071_to_NOT_1166_cross_tower_other_time_WS10,WS,10.0,7150,1.7177654099692905,1.326220149213549,-0.2740153725288045,0.8499190198256057,2.4897926844304745,31.00769310187691,1.7177654099692905
Code1,NO3_1071,NOT_1166,NO3_1071→NOT_1166,CNN_LSTM,C4,MOST input,cross_tower_other_time,NO3_1071_to_NOT_1166_cross_tower_other_time_WS10,WS,10.0,7150,1.2470631824452552,0.9595502549093176,-0.4717325108009035,0.9310937099853472,2.4897926844304745,49.912971058049614,1.2470631824452552
Code1,NO3_1071,NOT_1166,NO3_1071→NOT_1166,CNN_LSTM,C6,MOST loss,cross_tower_other_time,NO3_1071_to_NOT_1166_cross_tower_other_time_WS10,WS,10.0,7150,1.7242750116198553,1.3296780611197372,-0.3564368193197859,0.8529915432531351,2.4897926844304745,30.74624154844952,1.7242750116198553
Code1,NO3_1071,NOT_1166,NO3_1071→NOT_1166,TCN,C2,Data-driven,cross_tower_other_time,NO3_1071_to_NOT_1166_cross_tower_other_time_WS10,WS,10.0,7150,1.7096469080178571,1.320110418028443,-0.3108571861254037,0.8539407474511203,2.4897926844304745,31.333764505419904,1.7096469080178571
Code1,NO3_1071,NOT_1166,NO3_1071→NOT_1166,TCN,C4,MOST input,cross_tower_other_time,NO3_1071_to_NOT_1166_cross_tower_other_time_WS10,WS,10.0,7150,1.241814209702777,0.945038381321432,-0.471504499689041,0.9318134544486764,2.4897926844304745,50.123790728912255,1.241814209702777
Code1,NO3_1071,NOT_1166,NO3_1071→NOT_1166,TCN,C6,MOST loss,cross_tower_other_time,NO3_1071_to_NOT_1166_cross_tower_other_time_WS10,WS,10.0,7150,1.7038869192261945,1.3182337777985145,-0.2693697523361228,0.8550280364449212,2.4897926844304745,31.56510861803144,1.7038869192261945
Code2,NO3_1071,NOT_1166,NO3_1071→NOT_1166,CNN_LSTM,C2,Data-driven,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NOT_1166_cross_tower_other_time,WS,ALL_PROFILE,21254,2.029471230240877,1.5678070716791008,0.07776707198833,0.842291647817461,2.427693462651515,16.4033160914682,2.029471230240877
Code2,NO3_1071,NOT_1166,NO3_1071→NOT_1166,CNN_LSTM,C4b,MOST input,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NOT_1166_cross_tower_other_time,WS,ALL_PROFILE,21254,1.2221940647083287,0.9523190605556404,-0.1384521120621344,0.9468051153598211,2.427693462651515,49.65616196974661,1.2221940647083287
Code2,NO3_1071,NOT_1166,NO3_1071→NOT_1166,CNN_LSTM,C6m,MOST loss,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NOT_1166_cross_tower_other_time,WS,ALL_PROFILE,21254,2.037325196600916,1.583946083138604,0.2340037856009678,0.8430473161068336,2.427693462651515,16.079800520789007,2.037325196600916
Code2,NO3_1071,NOT_1166,NO3_1071→NOT_1166,TCN,C2,Data-driven,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NOT_1166_cross_tower_other_time,WS,ALL_PROFILE,21254,2.02862687898972,1.576890152620603,0.0156995070276373,0.8424264128144949,2.427693462651515,16.438096069424542,2.02862687898972
Code2,NO3_1071,NOT_1166,NO3_1071→NOT_1166,TCN,C4b,MOST input,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NOT_1166_cross_tower_other_time,WS,ALL_PROFILE,21254,1.087635856492914,0.8379926430927538,-0.2936307589104473,0.9633700955669228,2.427693462651515,55.19879782083347,1.087635856492914
Code2,NO3_1071,NOT_1166,NO3_1071→NOT_1166,TCN,C6m,MOST loss,cross_tower_other_time,FAIR_HEIGHTWISE_POOLED_NO3_1071_to_NOT_1166_cross_tower_other_time,WS,ALL_PROFILE,21254,2.0493278953055563,1.5940559618141816,0.27558620873851,0.8421362224063407,2.427693462651515,15.58539301468109,2.0493278953055563
