code,source_site,target_site,direction,network,case,role,generalization_type,task_name,variable,height_m,N,RMSE,MAE,MBE,Pearson_r,Raw_RMSE,Skill_RMSE_pct,primary_error
Code1,C039801,C039802,C039801→C039802,CNN_LSTM,C2,Data-driven,cross_tower_other_time,C039801_to_C039802_cross_tower_other_time_WS160,WS,160.0,4905,2.51563826951628,1.894607568270952,-0.930640499758601,0.7374370434702262,2.659258361934902,5.40075738688747,2.51563826951628
Code1,C039801,C039802,C039801→C039802,CNN_LSTM,C4,MOST input,cross_tower_other_time,C039801_to_C039802_cross_tower_other_time_WS160,WS,160.0,4905,1.2039329524578424,0.9085290812770068,-0.2893508429251044,0.9404195866151344,2.659258361934902,54.72673999295618,1.2039329524578424
Code1,C039801,C039802,C039801→C039802,CNN_LSTM,C6,MOST loss,cross_tower_other_time,C039801_to_C039802_cross_tower_other_time_WS160,WS,160.0,4905,2.571415462423878,1.9474947486340533,-0.8147872893226142,0.720222593150749,2.659258361934902,3.3032856366430203,2.571415462423878
Code1,C039801,C039802,C039801→C039802,TCN,C2,Data-driven,cross_tower_other_time,C039801_to_C039802_cross_tower_other_time_WS160,WS,160.0,4905,2.3908905631416157,1.820444792459108,-0.2888205069612439,0.7223136979804321,2.659258361934902,10.091828708137244,2.3908905631416157
Code1,C039801,C039802,C039801→C039802,TCN,C4,MOST input,cross_tower_other_time,C039801_to_C039802_cross_tower_other_time_WS160,WS,160.0,4905,1.2604522762210748,0.9528282575077844,-0.4201216409459869,0.938965447042612,2.659258361934902,52.60136080557597,1.2604522762210748
Code1,C039801,C039802,C039801→C039802,TCN,C6,MOST loss,cross_tower_other_time,C039801_to_C039802_cross_tower_other_time_WS160,WS,160.0,4905,2.507991493088656,1.884742785081999,-0.6457278388804998,0.7079656542546197,2.659258361934902,5.688310357936884,2.507991493088656
Code2,C039801,C039802,C039801→C039802,CNN_LSTM,C2,Data-driven,cross_tower_other_time,FAIR_C039801_to_C039802_cross_tower_other_time,WS,ALL_PROFILE,29430,2.289766492964969,1.7101188362127868,-0.711982636315466,0.7237462033924709,2.385869336792661,4.028001129218714,2.289766492964969
Code2,C039801,C039802,C039801→C039802,CNN_LSTM,C4b,MOST input,cross_tower_other_time,FAIR_C039801_to_C039802_cross_tower_other_time,WS,ALL_PROFILE,29430,1.0345183034521113,0.7550912800318177,-0.0344917977205861,0.94442824330962,2.385869336792661,56.63977538506695,1.0345183034521113
Code2,C039801,C039802,C039801→C039802,CNN_LSTM,C6m,MOST loss,cross_tower_other_time,FAIR_C039801_to_C039802_cross_tower_other_time,WS,ALL_PROFILE,29430,2.2054579882974767,1.660782255018448,-0.1544739480991976,0.7120427611311781,2.385869336792661,7.561660888676839,2.2054579882974767
Code2,C039801,C039802,C039801→C039802,TCN,C2,Data-driven,cross_tower_other_time,FAIR_C039801_to_C039802_cross_tower_other_time,WS,ALL_PROFILE,29430,2.32958450691584,1.7301931167658269,-0.8154539081081351,0.7126541531796932,2.385869336792661,2.359091045299459,2.32958450691584
