rec_time,tp100m,tp70m,tp50m,tp30m,tp10m,tp4m,rh70m,rh10m,wspd100m,wspd70m,wspd50m,wspd30m,wspd10m,wspd4m,wdir100m,wdir70m,wdir50m,wdir30m,wdir10m,wdir4m,tbl70m,tbl10m,L,L_level
2009-05-20 11:50:00,23.298965517241378,23.590877192982454,23.900344827586206,24.267333333333333,24.974464285714284,25.454745762711866,16.5575,15.103148148148149,14.848711864406779,14.252631578947367,14.553915254237287,13.955087108013938,11.738223443223443,11.782840501792114,225.81466666666665,226.06866666666667,222.23066666666665,225.98649999999998,216.9485,221.19333333333333,0.1524790578145707,0.1326438433624219,-279.3800109581211,1
2009-05-20 12:00:00,23.394210526315785,23.690862068965515,23.927321428571428,24.289661016949154,25.057457627118644,25.796440677966103,16.413928571428574,14.778166666666666,14.000017271157168,13.30390492359932,13.26635750421585,13.18848484848485,11.74204081632653,11.316585976627714,228.79166666666666,228.63216666666665,223.976,227.58783333333335,218.26566666666665,221.93416666666667,0.14770166088106287,0.1265158259847212,-110.51385490790857,1
2009-05-20 12:10:00,23.385172413793104,23.686666666666667,23.974181818181815,24.351272727272736,25.03584905660377,25.565370370370374,17.22508474576271,15.603666666666665,13.722091836734695,12.450243697478992,12.438341793570219,12.182015706806283,11.389965034965035,10.67981718464351,233.69533333333337,234.0761666666667,229.87133333333333,233.87283333333335,225.45699999999997,229.27816666666666,0.18610412882596677,0.17043018323793613,-51.095843711058656,0
2009-05-20 12:20:00,23.439333333333334,23.765499999999996,24.099333333333334,24.4598245614035,25.106800000000003,25.77333333333334,17.571186440677963,16.102777777777774,14.540330882352942,13.353478647686831,13.257780701754386,12.451153846153847,10.589267857142858,10.068982300884956,240.80766666666668,240.98950000000002,236.72683333333333,239.5711666666667,230.56533333333334,234.25383333333332,0.20921863656709788,0.18362796875518983,-324.8845640193743,1
2009-05-20 12:30:00,23.41803571428571,23.69181818181818,24.021724137931027,24.428965517241373,25.145666666666664,25.735932203389833,16.68913793103448,14.964333333333332,13.459365609348914,12.670548986486487,12.55098275862069,12.162344827586207,10.772072310405642,10.378672566371682,232.89099999999996,233.44099999999997,230.15166666666667,234.69549999999998,226.83566666666667,230.85549999999998,0.1832609014649436,0.17788721579233202,-171.1815639389718,1
2009-05-20 12:40:00,23.48166666666667,23.809166666666666,24.09666666666667,24.444666666666667,24.9615,25.368333333333336,17.25283333333333,15.885666666666667,12.525933333333334,11.271587837837837,11.263111298482293,11.088866666666666,10.435680672268907,9.771608333333333,230.20850000000002,230.35049999999998,226.18666666666667,228.8536666666667,218.89816666666667,223.28950000000003,0.18440379656229697,0.15726671459911937,-27.326407083871572,0
2009-05-20 12:50:00,23.578333333333337,23.842000000000002,24.124833333333335,24.425,25.064333333333334,25.544333333333334,17.0465,15.589830508474577,12.808425460636515,12.053519458544839,11.90674204355109,11.377896494156928,9.973788395904437,9.517512520868113,233.97233333333332,233.98349999999996,230.33516666666668,234.7128333333333,226.06116666666668,229.5935,0.1723430454157103,0.16760719123058332,-172.75653218539392,1
2009-05-20 13:00:00,23.77333333333333,24.046724137931026,24.314909090909094,24.643157894736845,25.17293103448276,25.5125,16.466730769230768,15.058333333333332,15.198892794376095,13.857762237762238,13.794783362218372,13.184340277777778,11.973008547008547,10.97965156794425,234.49783333333335,233.87116666666668,229.47333333333333,233.62983333333338,225.63366666666664,229.7328333333333,0.13297029054950718,0.12920206691003422,-132.07674587689513,1
2009-05-20 13:10:00,23.881666666666668,24.1875,24.467966101694913,24.762999999999998,25.243333333333336,25.648166666666672,nan,nan,13.714982698961938,12.335,12.452307692307693,13.05759581881533,11.706903553299492,11.248015597920277,229.91933333333336,229.61699999999996,225.37116666666668,229.04033333333336,219.0085,222.76583333333335,0.13148178202465857,0.14340236263335307,-14.210981780186042,0
2009-05-20 13:20:00,23.919999999999998,24.170666666666662,24.41183333333333,24.735333333333333,25.26316666666667,25.68433333333333,15.255172413793105,14.376833333333334,14.881015228426396,13.787234782608696,13.390616438356163,13.489401709401708,12.565218855218856,11.414278350515465,228.78033333333335,228.69366666666667,224.44783333333336,228.3538333333333,219.49333333333334,223.47716666666665,0.15869090107305814,0.15146130169631714,-54.989713601155934,0
2009-05-20 13:30:00,24.021929824561408,24.30543859649123,24.583818181818184,24.935614035087717,25.504909090909088,25.93769230769231,14.487666666666666,13.670166666666667,16.122084063047286,15.210927487352448,15.315236486486487,14.986616415410385,13.292054329371817,12.5266493955095,231.30900000000003,230.97083333333333,226.43599999999995,229.407,220.48416666666665,224.4168333333333,0.13467812228393305,0.13215759167836952,-145.46046797130955,1
2009-05-20 13:40:00,24.05428571428572,24.34086206896552,24.62566666666667,24.949166666666663,25.487666666666666,25.837333333333337,14.191333333333336,13.415166666666666,16.59195325542571,15.320117252931324,15.31753355704698,14.942057823129252,13.071530612244898,12.309412265758091,232.3656666666667,232.61699999999996,228.14550000000003,232.2088333333333,223.54450000000003,227.07083333333333,0.1422822636801202,0.14743237341439452,-189.1072219341379,1
2009-05-20 13:50:00,24.077719298245615,24.35866666666666,24.629152542372882,24.925166666666666,25.375500000000006,25.66316666666667,14.535333333333332,13.743833333333333,15.67289383561644,14.232292020373514,14.3548322147651,13.759933222036725,12.568308207705194,11.413226890756302,233.97116666666668,233.86333333333334,229.8211666666667,233.65200000000002,224.30450000000002,228.20816666666667,0.11824098964113773,0.12677369255976792,-93.95304684664107,1
2009-05-20 14:00:00,23.867800000000006,nan,nan,24.647450980392158,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.693442460317462,252.06566666666666,252.39299999999997,249.16,254.01599999999996,246.85700000000003,251.48899999999995,nan,nan,nan,nan
2009-05-20 14:10:00,nan,nan,nan,nan,nan,nan,nan,nan,14.77702752293578,14.191132743362832,13.947868852459017,13.437330895795245,12.124434306569343,11.440297951582869,246.84566666666666,246.38333333333333,241.86400000000003,244.82799999999997,236.11466666666664,240.53733333333332,0.10916833968847466,0.1465464812870301,nan,nan
2009-05-20 14:20:00,22.954499999999996,23.221,23.504000000000005,23.824166666666663,24.291166666666665,24.546666666666667,18.344166666666663,17.293999999999997,19.145424610051993,18.730645724258288,18.31230366492147,17.288,15.243272394881169,13.353183520599252,260.30833333333334,259.7183333333333,255.44266666666664,260.1,251.9836666666667,255.91899999999998,0.10851435689922814,0.15699862564378533,-406.68374812521984,1
2009-05-20 14:30:00,22.457499999999996,22.706833333333336,22.975666666666665,23.24816666666667,23.686666666666667,23.84116666666667,19.806166666666662,18.646333333333327,20.42609589041096,20.153887945670625,19.518161888701517,18.58566552901024,16.541733102253033,14.388939929328622,261.62916666666666,260.9363333333333,257.024,261.2165,253.36183333333335,258.4121666666666,0.06721097368224932,0.1033538074208901,-399.3182783181003,1
2009-05-20 14:40:00,22.37366666666667,22.615666666666662,22.837,23.12616666666667,23.468833333333336,23.555333333333337,20.193499999999997,19.229333333333333,17.336227045075123,16.932033333333333,16.66691666666667,15.8844,14.28015,12.720442404006677,261.0108333333333,260.79,256.88416666666666,261.77299999999997,253.94700000000003,258.63216666666665,0.08066142206319091,0.11641839886236553,-194.3825477167089,1
2009-05-20 14:50:00,22.5145,22.75533333333334,22.999,23.278166666666667,23.65683333333333,23.824000000000005,19.674666666666663,18.817666666666664,16.67355108877722,16.174063545150503,16.085983333333335,15.107028380634391,13.27095,11.950376254180604,252.31533333333334,251.989,247.7671666666667,252.14516666666668,244.34016666666668,248.79700000000003,0.09098180607639705,0.14704838271351864,-243.77602197528276,1
2009-05-20 15:00:00,22.74766666666666,23.009666666666664,23.25283333333334,23.485000000000003,23.81633333333333,23.941166666666668,19.09483333333333,18.284833333333335,15.451201353637902,14.499161073825503,14.45824531516184,13.700272572402046,11.718973063973063,10.56399830220713,249.10033333333334,248.84799999999998,244.96483333333336,249.56066666666666,241.66299999999998,245.56183333333334,0.1281211036818983,0.1445787989613263,-201.96378282354976,1
2009-05-20 15:10:00,nan,22.986000000000004,nan,nan,nan,nan,nan,nan,17.00880136986301,15.610068728522336,15.525719298245614,14.598486956521741,12.68621052631579,11.850008880994672,246.12800000000004,246.2246666666667,241.7596666666667,246.463,238.05116666666663,242.51150000000004,0.10425161122224834,0.12534217213685028,nan,nan
2009-05-20 15:20:00,22.746500000000005,22.974333333333327,23.195762711864408,23.413666666666664,23.639,23.70933333333333,19.22931034482759,18.387833333333333,16.530650684931505,15.293187183811131,15.350764006791172,14.260186125211506,11.782033898305086,11.467807167235495,243.40616666666668,243.28033333333335,238.84050000000002,243.29949999999997,235.66799999999998,239.69599999999997,0.09124328952488418,0.14329377089718018,-262.36559388620066,1
2009-05-20 15:30:00,22.469833333333334,22.69100000000001,22.919000000000004,23.144666666666673,23.357166666666668,23.37066666666667,20.198166666666665,19.429666666666662,16.601731092436975,15.430878378378376,15.330254237288136,14.312380952380954,12.273111888111888,11.352764505119454,248.51666666666668,248.48283333333336,243.72116666666668,248.49616666666668,239.88966666666664,244.56833333333333,0.07449414789080339,0.12663147635904076,-214.46231221433914,1
2009-05-20 15:40:00,22.4285,22.65466666666667,22.860833333333332,23.07933333333333,23.281833333333335,23.289666666666665,20.331500000000002,19.6505,15.657274275979557,14.160916808149404,14.175754385964913,13.22878842676311,10.861460101867571,10.479636048526864,243.02966666666666,243.24983333333338,239.25316666666666,243.62033333333335,235.5,239.66283333333334,0.0851290413634062,0.13773918300735918,-220.18597911110444,1
2009-05-20 15:50:00,22.422000000000004,22.650500000000005,22.874166666666667,23.060500000000005,23.266000000000002,23.26683333333333,20.513,19.77766666666667,15.201120689655175,13.886884681583474,13.925114638447972,13.09731046931408,10.449435075885328,9.902504258943782,243.6723333333333,243.43433333333334,239.2338333333333,243.18849999999995,234.66400000000004,238.7325,0.07807050993569971,0.12612898308068077,-233.9201697532173,1
2009-05-20 16:00:00,22.578833333333325,22.80216666666666,23.0,23.177000000000003,23.40833333333334,23.389833333333335,19.689500000000002,19.14316666666667,17.289961165048542,nan,nan,nan,nan,nan,240.68800000000002,240.62733333333333,237.3518333333333,241.71916666666667,234.48483333333337,239.0068333333333,nan,nan,nan,nan
2009-05-20 16:10:00,22.5935,22.81333333333333,23.0115,23.21983333333333,23.408666666666665,23.401999999999997,19.67362068965517,19.162203389830513,11.937260504201681,11.008976311336719,10.70278797996661,10.15473018549747,9.019589743589744,8.305008403361345,233.21366666666668,233.55150000000003,229.35733333333337,233.2306666666667,225.17066666666665,229.06666666666666,0.1596704678553349,0.1379743216629765,-78.55415494833791,0
2009-05-20 16:20:00,22.672666666666668,22.88083333333334,23.06866666666667,23.265666666666668,23.445166666666662,23.42083333333333,19.598166666666668,19.11333333333333,11.57768971332209,10.44366554054054,10.050651085141903,9.969991666666667,9.417909698996656,8.421881355932204,229.75566666666666,229.73516666666663,225.59083333333334,229.494,219.51966666666664,223.3675,0.14043826675663387,0.1472895354007259,-20.13290593344525,0
2009-05-20 16:30:00,22.81233333333334,23.028999999999996,23.236499999999996,23.410000000000004,23.597833333333334,23.61666666666667,19.090000000000007,18.546000000000003,12.799161073825502,11.360580808080806,11.493618090452262,11.545916666666665,10.166775,9.454749582637728,227.48966666666664,227.89283333333336,223.81800000000004,227.44766666666666,218.09699999999998,221.96200000000002,0.1388648714282715,0.12622449171830974,-27.440912581240262,0
2009-05-20 16:40:00,23.020333333333326,23.2625,23.513833333333334,23.69733333333333,23.97316666666667,24.074,18.807499999999997,18.248833333333334,13.869545454545454,12.428984238178634,12.2112265758092,12.363931034482759,11.035560420315237,9.742208695652174,228.59216666666666,228.69216666666665,224.38133333333337,228.26166666666666,219.79916666666668,223.62166666666667,0.16335542997071742,0.18253979697096542,-46.482521291881376,0
2009-05-20 16:50:00,23.097333333333335,23.34916666666667,23.579,23.884499999999996,24.2345,24.41533333333333,18.42366666666667,17.64728813559322,14.582684563758388,13.241563573883163,13.207996515679442,13.659008771929825,12.135971731448763,11.136445035460993,227.40116666666668,227.4518333333333,223.07700000000003,226.4093333333333,216.85166666666666,221.28433333333334,0.13053543897565703,0.11034241000061623,-36.56976717731581,0
