rec_time,tp70m,tp50m,tp30m,tp10m,rh70m,rh10m,wspd70m,wspd50m,wspd30m,wspd10m,wdir70m,wdir50m,wdir30m,wdir10m,tbl70m,tbl10m,L,L_level
2009-05-20 15:10:00,nan,nan,24.599056603773583,24.812745098039223,nan,nan,14.71007272727273,14.383309608540925,13.611858407079646,11.891492007104796,249.02133333333336,249.754,246.435,247.44666666666666,0.10098681224263957,0.11874006423560131,nan,nan
2009-05-20 15:20:00,24.014000000000003,24.21233333333333,24.43966666666666,24.611666666666665,18.246666666666666,17.837666666666667,14.66817051509769,13.992455516014235,13.22478021978022,11.302017857142856,247.26966666666664,248.21016666666662,244.92833333333334,246.3056666666667,0.08729043551183317,0.13429198946159376,-219.4625492424626,1
2009-05-20 15:30:00,23.83366666666667,24.01916666666667,24.23266666666667,24.373499999999996,18.829499999999996,18.425666666666665,14.7043,14.295711892797321,13.697811447811448,11.673078260869566,247.6988333333333,249.3035,245.76150000000004,246.96683333333328,0.0711056593112295,0.09586505693082634,-162.61171916474538,1
2009-05-20 15:40:00,23.733,23.912333333333336,24.11666666666666,24.233666666666668,19.006333333333334,18.722500000000004,14.500466666666668,14.006097972972974,13.223390119250425,11.401099830795262,244.31633333333332,245.09483333333333,241.8725,242.44199999999998,0.0835829606173547,0.11883236668971428,-157.81171054770027,1
2009-05-20 15:50:00,23.73666666666667,23.91366666666668,24.114166666666662,24.2315,18.870833333333334,18.606,14.158450704225352,13.650410714285716,12.827086206896551,11.153143872113676,242.8886666666667,243.80483333333333,239.74766666666673,240.02283333333335,0.09060064034298292,0.11771743593993926,-147.0107807808498,1
2009-05-20 16:00:00,23.78216666666666,23.959833333333332,24.158666666666665,24.28166666666666,18.948666666666664,18.69433333333333,14.308406304728548,13.854310954063605,13.051393298059963,11.337069271758436,241.72516666666667,242.4538333333333,239.3988333333333,239.2618333333333,0.08715016667945319,0.12415498180653231,-145.14237658719614,1
2009-05-20 16:10:00,23.91083333333334,24.089,24.296999999999993,24.431833333333334,nan,nan,13.649394957983192,12.997925801011805,12.382976588628763,10.793503344481605,234.59,235.37833333333333,232.64450000000002,234.48799999999997,0.09292280019031997,0.12210801329597575,-140.06643028712304,1
2009-05-20 16:20:00,23.94,24.113499999999995,24.316499999999994,24.44466666666667,18.021333333333327,17.86933333333333,13.562369747899158,12.713378839590444,12.03727115716753,10.315264505119453,230.16416666666666,230.90949999999998,227.935,228.88,0.09348908312459221,0.1349378006195363,-174.09803624640872,1
2009-05-20 16:30:00,24.025166666666664,24.202833333333334,24.406000000000002,24.539999999999996,17.893500000000003,17.62816666666667,12.63541737649063,12.009413735343383,11.574211409395973,10.193166666666666,225.45700000000002,226.0,222.5368333333333,224.03799999999998,0.08261392348929374,0.11151906010266406,-102.18639531041276,1
2009-05-20 16:40:00,24.240666666666666,24.43783333333334,24.679500000000008,24.91866666666667,17.696,17.432999999999996,12.704682675814752,12.16970123022847,11.597547826086958,10.165389948006933,224.7923333333333,225.53799999999998,221.76549999999997,222.1785,0.09480166170057384,0.1359015508615436,-144.06840829184412,1
2009-05-20 16:50:00,24.55816666666666,24.779999999999994,25.05966666666667,25.349166666666672,17.227586206896554,16.77894736842105,14.429825918762088,nan,12.988207171314741,11.519266144814091,225.29566666666665,226.10849999999996,222.95299999999997,224.2913333333333,0.085344483492526,0.1284132560561394,-217.49269970212129,1
2009-05-20 17:00:00,24.666166666666662,24.893499999999996,25.17183333333333,25.427833333333332,17.032909090909094,16.5582,13.611278065630398,13.017074010327022,12.440068376068377,11.067594827586207,224.0181666666667,225.53133333333332,222.25583333333333,224.23549999999997,0.10068662486010257,0.1383762804957658,-161.94753178567882,1
2009-05-20 17:10:00,24.569833333333335,24.770500000000002,25.003500000000006,25.190333333333328,17.338,16.9565,13.791356783919596,13.105166666666667,12.417094594594595,10.574570446735395,222.34716666666665,222.8898333333333,218.96683333333334,219.45666666666668,0.13266735381273428,0.17283303053834997,-208.8870044100828,1
2009-05-20 17:20:00,24.43700000000001,24.62433333333333,24.837333333333333,24.984833333333334,17.117,16.71516666666667,13.552833333333334,12.9447,12.218883333333332,10.823833333333333,223.8338333333333,224.57833333333335,221.34366666666668,222.3011666666667,0.11186132684118673,0.12257619281362554,-134.87278583927787,1
2009-05-20 17:30:00,24.456000000000007,24.63383333333334,24.828333333333326,24.942,17.121,16.791666666666668,13.881632653061226,13.378781302170283,12.776498316498316,10.923358843537416,223.48916666666668,224.063,220.70833333333334,222.7698333333333,0.13731876996643985,0.16364857670070665,-140.45651348817262,1
2009-05-20 17:40:00,24.220333333333336,24.39866666666667,24.57983333333333,24.66233333333333,17.768666666666668,17.435666666666666,12.929658886894074,12.532557319223987,11.8067084078712,10.081368515205725,234.68899999999994,235.83283333333335,233.4175,232.57549999999998,0.12327932001681521,0.16483534050348286,-118.50192905943457,1
2009-05-20 17:50:00,24.110833333333332,24.280500000000004,24.463333333333342,24.53483333333333,18.267666666666667,17.914166666666667,14.8256106870229,14.483900573613766,13.724923076923076,11.650839694656487,240.154,241.35650000000004,238.41216666666665,239.13016666666672,0.14338332520764313,0.15448405340933136,-139.9400068794857,1
2009-05-20 18:00:00,23.981999999999996,24.132857142857144,24.298928571428576,24.33084745762712,18.556226415094343,18.336000000000002,11.810161290322581,11.284119718309862,10.610286458333334,9.049957337883958,235.26933333333335,235.87966666666665,232.69016666666667,232.93066666666667,0.11102201673922946,0.1625102104080182,-87.26024845755197,1
2009-05-20 18:10:00,23.609166666666667,23.760754716981133,nan,nan,19.543333333333337,19.345882352941175,11.270059880239522,10.834138613861386,10.099520958083833,8.404146825396825,231.68516666666667,232.42416666666668,229.0511666666667,229.1046666666667,0.10499047073563793,0.1595037627323567,nan,nan
2009-05-20 18:20:00,nan,23.422857142857147,23.519,23.532500000000002,nan,nan,12.280675675675676,11.65011385199241,10.761207224334601,9.07090909090909,226.2103333333333,226.20416666666668,222.65383333333332,223.1388333333333,0.11400609833218531,0.11509547327880337,nan,nan
2009-05-20 18:30:00,23.530833333333337,23.63233333333334,23.717333333333332,23.64366666666667,19.89216666666666,20.22716666666667,10.399416666666665,9.849216666666667,8.965125,7.373425,235.23666666666668,235.286,230.6443333333333,229.20450000000002,0.1110894362166363,0.1376815048366046,-31.720322645034344,0
2009-05-20 18:40:00,23.5625,23.65862068965517,23.71566666666667,23.59783333333333,19.715666666666667,20.133,9.079593425605536,8.43204081632653,7.535701168614358,5.840016666666667,233.99866666666668,233.07283333333336,227.69066666666666,220.04710000000003,0.08840787976435419,0.13281999760256294,-10.53421244209871,0
2009-05-20 18:50:00,23.452,23.549999999999997,23.62333333333334,23.520500000000002,20.042500000000004,20.395333333333337,9.421466666666669,8.791300000000001,8.021283333333335,6.410816666666667,234.814,234.5681666666667,230.08049999999997,227.7396666666667,0.08978240600201348,0.12811757542539157,-18.478460204822277,0
2009-05-20 19:00:00,23.498666666666665,23.571666666666673,23.629833333333337,23.519833333333334,19.623,20.123500000000003,10.382716666666665,9.518458333333335,8.585008333333333,6.928341666666667,234.33766666666662,233.68416666666667,228.55766666666668,226.6463333333333,0.08517490518458722,0.11808579240826152,-6.97894661501892,0
2009-05-20 19:10:00,nan,nan,nan,nan,nan,nan,10.97675585284281,10.235691666666666,9.040758333333335,7.168175,269.5523333333333,268.710515,263.6066666666667,262.61247333333336,0.16166947202466245,0.2884383727243235,nan,nan
2009-05-20 19:20:00,17.695833333333336,17.94983333333334,18.103999999999996,18.2285,32.809666666666665,31.625499999999995,14.286033333333332,13.625566666666666,13.314350000000001,11.3625,349.28834,348.6909766666667,348.0943766666667,355.37097,0.08473931451266888,0.15401851953468093,-146.69747697764774,1
2009-05-20 19:30:00,16.541166666666662,16.73183333333333,16.929000000000006,17.0565,35.439166666666665,34.200500000000005,12.752683333333334,12.010866666666667,11.293508333333333,9.994200000000001,352.26224499999995,351.712295,349.6905483333333,353.0561383333333,0.13498309086357882,0.15730431197496575,-126.45188747824749,1
2009-05-20 19:40:00,17.187166666666666,17.247666666666667,17.346833333333333,17.354833333333332,33.41166666666667,33.2285,11.357798634812287,10.599644097222223,9.746501677852349,8.202675,342.3491066666666,344.41153833333334,343.63104666666663,347.42392,0.16055446761609118,0.1829600596636847,-51.16155082608451,0
2009-05-20 19:50:00,17.777499999999996,17.783833333333334,17.7845,17.749166666666664,30.560666666666666,30.945666666666668,15.097979452054796,14.31753064798599,14.008274111675126,12.01850847457627,330.19733333333335,331.97708166666666,330.11697333333336,332.24951500000003,0.11022273839988371,0.13282925697471443,8235.511756324866,2
2009-05-20 20:00:00,14.56483333333333,14.788833333333335,14.979166666666666,15.099166666666667,36.79116666666666,35.559166666666655,15.327106164383563,14.524130808950087,13.700326460481099,11.753282647584971,352.0043466666666,350.751765,349.26843333333335,349.66083000000003,0.08545429531182835,0.14781165122457943,-214.4183334338852,1
2009-05-20 20:10:00,13.600999999999997,13.806666666666665,14.011833333333334,14.149666666666667,37.964999999999996,36.597500000000004,15.332533557046977,14.685261382799327,14.046146010186758,12.24361952861953,353.76106833333336,353.0755766666667,350.75911,350.9041183333334,0.07552977639035849,0.1124584584329584,-165.59539142603555,1
2009-05-20 20:20:00,12.967500000000001,13.17483333333333,13.388833333333334,13.532833333333333,38.54666666666666,37.12499999999999,15.451819699499165,14.86228813559322,14.074244966442953,12.44791095890411,358.7807066666667,357.8377483333333,354.1961,358.2834083333333,0.0738301435219504,0.11245307890506845,-161.1553910657075,1
2009-05-20 20:30:00,11.960666666666667,12.181833333333334,12.397166666666665,12.558833333333334,41.94866666666667,40.11083333333333,15.658003442340794,14.977286956521738,13.846826758147513,11.840468750000001,2.8916149999999448,3.273008333333337,0.054264999999986685,0.9172916666666424,0.08982942200335113,0.12552694064846726,-268.5330190208455,1
2009-05-20 20:40:00,10.932999999999996,11.153999999999998,11.37016666666667,11.530833333333334,48.42049999999999,46.291000000000004,15.814127806563041,15.001101694915254,14.155438898450946,12.31431304347826,2.449253333333388,4.4378333333332876,1.6360266666666234,4.9491466666667066,0.08268870583725661,0.12037078219097672,-226.5405489817905,1
2009-05-20 20:50:00,10.524166666666668,10.727999999999998,10.947,11.105333333333332,51.615166666666674,49.577333333333335,15.842279151943462,15.025139664804469,14.124275092936802,12.221117117117117,359.31464666666665,358.732745,354.28369999999995,356.2397133333333,0.09701343039492205,0.1326494861289626,-235.0538431279718,1
2009-05-20 21:00:00,10.1975,10.399833333333335,10.612833333333331,10.767166666666665,53.89166666666666,51.85866666666666,15.64560218978102,15.13990892531876,14.32320143884892,12.180121527777779,1.0980050000000006,359.9268466666667,356.8612933333334,354.96784333333335,0.09955236075980703,0.13276375843742774,-211.755183049917,1
2009-05-20 21:10:00,10.065000000000001,10.261000000000001,10.472166666666665,10.618166666666664,54.78266666666668,52.865166666666674,nan,13.590368932038835,12.586666666666668,10.705433925049311,6.601094999999987,7.509226666666677,4.459251666666603,6.155756666666662,nan,0.11946036252107892,nan,nan
2009-05-20 21:20:00,9.899166666666664,10.100666666666665,10.310833333333335,10.456333333333335,55.69466666666668,53.730500000000006,12.98292808219178,12.359507640067912,11.350947098976109,9.839577586206897,9.625929999999983,10.926321666666695,7.1210649999999305,11.193401666666716,0.09554939285703029,0.14772636919902357,-171.65837433435107,1
2009-05-20 21:30:00,9.747999999999998,9.945500000000001,10.151833333333336,10.289000000000003,56.85233333333334,54.901500000000006,12.059171270718233,11.674057450628368,10.774377192982456,9.254020442930154,14.231865,14.777654999999982,10.622673333333296,12.602359999999976,0.11884675737387773,0.1525163737882897,-133.8168784638867,1
2009-05-20 21:40:00,9.6345,9.828666666666667,10.031499999999998,10.158499999999998,57.71116666666668,55.851833333333346,12.868533333333334,12.449072512647554,11.634383445945945,10.14839527027027,12.80637999999999,13.423305000000028,10.082960000000014,11.862915000000044,0.10993191017718384,0.12496633662629508,-122.16956623204707,1
2009-05-20 21:50:00,9.608333333333336,9.799,10.003666666666668,10.139333333333333,57.4765,55.69133333333333,12.241277683134582,11.511368243243243,10.644152684563757,9.313293515358362,7.16677500000003,7.057333333333361,1.9332166666666808,4.284949999999981,0.09991606537956349,0.13500023583799242,-142.73562834011878,1
2009-05-20 22:00:00,9.600166666666667,9.79183333333333,10.000333333333334,10.139666666666665,57.3875,55.54416666666667,12.191442953020134,11.525314091680814,10.62744966442953,9.36126254180602,13.58043,14.78838,11.645343333333358,14.598486666666702,0.09935297963986792,0.1429694628094397,-135.70737859879478,1
