rec_time,tp2m,rh2m,tp4m,rh4m,tp10m,rh10m,tp30m,rh30m,prs,wspd10m,wdir10m,wspd50m,wdir50m,wspd70m,wdir70m,wspd100m,wdir100m
2009-05-16 08:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-05-16 08:10:00,8.8949987,46.044667000000004,8.441953999999999,47.407762,7.862856600000001,48.244547999999995,7.333151400000001,48.665819,878.3021700000002,9.1523208,320.86094444444444,nan,329.8,11.091999999999999,310.25999999999993,nan,224.0
2009-05-16 08:20:00,9.248095500000002,45.376861,8.765785099999999,46.781670000000005,8.162178,47.80290599999999,7.4295610000000005,48.24467599999999,878.2270000000001,9.188565899999999,324.21655999999996,10.587,329.61,10.735000000000001,310.16,10.684999999999999,218.58
2009-05-16 08:30:00,9.127629500000001,44.883154000000005,8.6253935,46.388863,7.992572999999998,47.689435,7.322040200000001,48.197432000000006,878.30572,10.066473555555554,nan,10.488000000000001,330.19000000000005,10.616999999999999,310.76000000000005,10.543000000000001,184.73
2009-05-16 08:40:00,9.1032714,44.381127000000006,8.601498799999998,45.839981,7.9425568,47.146319,7.3679887,47.609134999999995,878.50512,9.654085799999999,323.67812,10.458,330.64,10.564000000000002,310.92,10.549999999999999,176.16000000000003
2009-05-16 08:50:00,9.1796967,43.524671,8.663613999999999,44.980524,7.979691400000002,46.091336999999996,7.336157299999999,46.516881,878.84243,8.6385633,322.51446666666675,10.349000000000002,331.5,10.395,311.52000000000004,10.504999999999999,166.90000000000003
2009-05-16 09:00:00,nan,nan,nan,nan,nan,nan,nan,nan,879.0518699999999,nan,321.50273333333337,10.124,332.14,10.248000000000001,312.33,10.405,160.12
2009-05-16 09:10:00,9.455718,nan,nan,nan,nan,nan,7.520353555555555,nan,879.1193300000001,8.683381,324.80102,10.032,332.27,10.215,312.29,10.318999999999999,161.77
2009-05-16 09:20:00,9.190336555555556,36.305385,8.660393111111112,37.575034,8.005475888888888,38.175382,7.3632040000000005,38.700877000000006,879.1910799999999,9.5827282,323.59467,10.088999999999999,331.52,10.258,313.06000000000006,10.376999999999999,147.45
2009-05-16 09:30:00,9.245029555555554,34.759494000000004,8.591162666666666,35.830819999999996,7.847357000000001,36.564829,7.131942100000001,37.340923999999994,879.26253,9.524630199999999,329.99859000000004,10.093,327.78,10.195999999999998,313.34,10.426999999999998,154.37999999999997
2009-05-16 09:40:00,9.106432,34.814235999999994,8.467618,36.053277,7.669986800000001,36.635999,6.9945775999999995,37.332663000000004,879.3756900000001,8.411633,nan,9.996,327.32,10.110000000000001,314.90999999999997,10.337,133.83999999999997
2009-05-16 09:50:00,9.051904799999999,35.21309900000001,8.489730000000002,36.393595,7.671203444444444,37.136831,6.8860928,37.70020099999999,879.35625,nan,326.89825,nan,323.78000000000003,10.068888888888885,316.1700000000001,nan,112.81999999999998
2009-05-16 10:00:00,8.984193999999999,33.78297,nan,34.889315999999994,nan,35.260740000000006,6.8536349,35.87701,879.30315,8.736237499999998,324.18592,9.958,323.78999999999996,10.113999999999999,316.32000000000005,10.307,106.96
2009-05-16 10:10:00,9.0654242,31.323246,8.397292,32.364459999999994,7.6355531,32.527908,6.9359020000000005,32.83872699999999,879.3996777777778,9.085094100000003,322.1151444444444,10.01,323.59,10.1,316.46,10.341,106.05999999999999
2009-05-16 10:20:00,9.0151565,31.238729999999997,8.3439107,32.11660444444445,7.4823827000000005,32.395287777777774,6.7696443,32.66826333333333,879.51201,9.5196997,325.74412,9.995999999999999,324.51,10.082000000000003,315.82,10.295,119.83999999999999
2009-05-16 10:30:00,8.931962799999999,29.720238000000002,8.1848087,30.698985,7.4792966666666665,30.875246000000004,6.894785000000001,31.15568,879.70442,9.0585773,321.37584999999996,9.881000000000002,327.29,10.054,314.37999999999994,10.168000000000001,138.20999999999998
2009-05-16 10:40:00,nan,29.915345000000002,nan,30.910149,nan,31.141339,7.225591333333333,31.497396,879.6631800000001,9.1002189,319.52885000000003,nan,327.46,nan,312.68,10.044999999999998,172.54999999999998
2009-05-16 10:50:00,9.1716223,29.04362777777778,8.5402046,29.920130000000004,7.826774299999999,29.973615000000002,7.178460888888889,30.378456,879.8370199999999,8.8879471,319.04618,9.931,329.98999999999995,10.021,310.6,10.120000000000001,210.70999999999998
2009-05-16 11:00:00,9.4439374,29.588516999999996,8.7579995,30.419814000000002,7.950520777777778,30.508673000000005,7.176074700000001,30.785948999999995,879.91122,nan,311.7724444444445,9.978,328.22,10.063333333333334,308.11,10.072222222222221,243.51999999999998
2009-05-16 11:10:00,nan,nan,nan,nan,nan,nan,nan,nan,879.8110399999999,nan,307.47212222222225,9.704,326.14000000000004,9.76,305.9,9.748999999999999,265.65
2009-05-16 11:20:00,10.541426300000001,23.967875,9.8852128,24.516613,9.1362772,24.173635,8.2816964,24.692427,879.7073,8.4911189,312.17078000000004,9.65,323.56000000000006,9.686000000000002,303.06000000000006,9.711,292.25
2009-05-16 11:30:00,10.896826999999998,22.183862999999995,10.123706000000002,22.680191,9.1606732,22.397047000000004,8.3937794,22.900707,879.7061399999999,9.7078523,313.16880000000003,9.83,323.11,9.762,302.50000000000006,9.819999999999999,300.2
2009-05-16 11:40:00,10.880151000000001,22.050547,10.193542,22.494674999999997,9.3946619,22.158772000000003,8.5880354,22.654265000000002,879.6448,8.7636884,310.66123000000005,9.885000000000002,320.86,9.829999999999998,300.23,9.934000000000001,309.21000000000004
2009-05-16 11:50:00,10.621566,21.089294,10.0505,21.517125,9.3004572,21.188136999999994,8.5639454,21.722551,879.6182699999999,9.6087804,301.5928777777778,9.981000000000002,318.31,10.001000000000001,297.54,10.081,314.55
2009-05-16 12:00:00,11.362905999999999,20.320029,10.670964,20.633657,9.723052333333332,20.226839000000002,nan,20.766973999999998,879.47829,9.5671376,308.37551,nan,316.65999999999997,nan,296.26,nan,313.21999999999997
2009-05-16 12:10:00,10.778481,19.277979999999996,10.157568300000001,19.562157,9.397214499999999,19.115184000000003,8.6793863,19.678052,879.48387,10.2575222,311.68838,10.632000000000001,317.39,10.728,296.96,10.84,319.28000000000003
